Ojibwe	English	Speaker	Link
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.	The snowmobiler's dog is running behind him.	nj	https://ojibwe.lib.umn.edu/main-entry/bimaagonebizo-vai
Mishawagaam waasaashkaa.	There are whitecaps out in the lake.	nj	https://ojibwe.lib.umn.edu/main-entry/waasaashkaa-vii
Gichi-onzaamaanimad. Waasaashkaa iwe zaaga'igan.	We have a heavy wind. The lake is full of whitecaps.	es	https://ojibwe.lib.umn.edu/main-entry/waasaashkaa-vii
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.	The trail of the snake shows it must have passed by here.	es	https://ojibwe.lib.umn.edu/main-entry/bimi-ayaa-vai
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.	There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.	nj	https://ojibwe.lib.umn.edu/main-entry/bimi-ayaa-vai
Niwii-pabaamaakwii noopimiing. Niwii'-andawagoodoo.	I'm going to walk around the woods and set some snares.	nj	https://ojibwe.lib.umn.edu/main-entry/babaamaakwii-vai
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.	The hunter has been tracking that deer all afternoon.	es	https://ojibwe.lib.umn.edu/main-entry/babaama-azh-vta
Waasamoog manidoog.	There is lightening.	rg	https://ojibwe.lib.umn.edu/main-entry/waasamowag-vai
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.	The manitous coming are continuously flashing lightning	es	https://ojibwe.lib.umn.edu/main-entry/waasamowag-vai
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.	He's going to remove the log that was lying across the road.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawishin-vai
Gii-aazhawibizo imaa eshpaanig aazhogan.	He drove across the high bridge.	es	https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.	You have been hired to go name the new bridge.	es	https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni
Ogotaan ji-aazhawishkang iwe gete-aazhoganish.	He's afraid to cross that old bridge.	es	https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.	The bridge going across to the US is a low one. It starts in Canada.	nj	https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni
Mii go imaa godagiing gaa-pabaamanokiid 'aw gwiiwizens.	The boy worked around the neighborhood.	es	https://ojibwe.lib.umn.edu/main-entry/babaamanokii-vai
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.	The electric lights went out and that's why it got dark all of a sudden.	es	https://ojibwe.lib.umn.edu/main-entry/waasigani-waazakonenjigan-ni
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.	I prepared beforehand to go snowshoeing tomorrow.	nj	https://ojibwe.lib.umn.edu/main-entry/bimaagimose-vai
Gii-mashkawichigaazo 'aw aazhideyaatig gaa-padakinind.	They strengthened the cross they erected.	es	https://ojibwe.lib.umn.edu/main-entry/aazhideyaatig-na
Gii-sagaakwa'igaazo awe gizhe-manidoo imaa aazhideyaatigong.	They nailed Jesus to the cross.	es	https://ojibwe.lib.umn.edu/main-entry/aazhideyaatig-na
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.	She didn't have any idea she was being sent to Washington.	es	https://ojibwe.lib.umn.edu/main-entry/waashtanong-name-place
Mii iwidi gaa-izhinizha'amaan Waashtanong gaa-kiizhig.. gaa-kiizhibii'igaadeg 'i onaakonigewin.	When they finished writing up that policy, that is where I sent it, to Washington, D.C.	es	https://ojibwe.lib.umn.edu/main-entry/waashtanong-name-place
