ojibwe	english	speaker	fst_readings
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.	The snowmobiler's dog is running behind him.	nj	[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Cnj+Pos+Neu+2SgSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvSg+3SgProxPoss', 'day+NAD+ObvPl+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['ChCnj+PVTense/gii+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+bimaagonebizo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Mishawagaam waasaashkaa.	There are whitecaps out in the lake.	nj	[{'word_form': 'mishawagaam', 'fst_analyses': ['mishawagaam+ADVLoc']}, {'word_form': 'waasaashkaa', 'fst_analyses': ['waasaashkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gichi-onzaamaanimad. Waasaashkaa iwe zaaga'igan.	We have a heavy wind. The lake is full of whitecaps.	es	"[{'word_form': 'gichi-onzaamaanimad', 'fst_analyses': ['PVLex/gichi+onzaamaanimad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'waasaashkaa', 'fst_analyses': ['waasaashkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': ""zaaga'igan"", 'fst_analyses': [""zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]"
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.	The trail of the snake shows it must have passed by here.	es	"[{'word_form': 'gii-nameshin', 'fst_analyses': ['PVTense/gii+nameshin+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'ginebig', 'fst_analyses': ['ginebig+NA+ProxSg']}, {'word_form': ""o'omaa"", 'fst_analyses': [""o'omaa+ADVLoc""]}, {'word_form': 'gii-pimi-ayaagwen', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj', 'PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+bimi-ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.	There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.	nj	[{'word_form': 'oshkiinamoog', 'fst_analyses': []}, {'word_form': 'gaa-gii-pimi-miikanaakewaad', 'fst_analyses': ['ChCnj+PVTense/gii+PVTense/gii+PVDir/bimi+miikanaake+VAI+Cnj+Pos+Neu+3PlProxSubj', 'PVSub/gaa+PVTense/gii+PVDir/bimi+miikanaake+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': 'gii-pimi-ayaawag', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Ind+Pos+Neu+3PlProxSubj', 'PVTense/gii+bimi-ayaa+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Niwii-pabaamaakwii noopimiing. Niwii'-andawagoodoo.	I'm going to walk around the woods and set some snares.	nj	"[{'word_form': 'niwii-pabaamaakwii', 'fst_analyses': ['PVTense/wii+babaamaakwii+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'noopimiing', 'fst_analyses': ['noopimiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""niwii'-andawagoodoo"", 'fst_analyses': [""PVTense/wii'+andawagoodoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.	The hunter has been tracking that deer all afternoon.	es	"[{'word_form': 'wenda-gabe-ishkwaa-naawakwe', 'fst_analyses': ['PVLex/wenda+gabe-ishkwaa-naawakwe+ADVTmp', 'PVLex/wenda+PVLex/gabe+PVLex/ishkwaa+naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+PVLex/gabe+ishkwaa-naawakwe+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'babaam', 'fst_analyses': []}, {'word_form': '...', 'fst_analyses': []}, {'word_form': ""obabaama'anaan"", 'fst_analyses': [""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj"", ""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj""]}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem+NA+ObvPl', 'iniwen+PRONDem+NA+ObvSg', 'iniwen+PRONDem+NI+Pl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvSg', 'waawaashkeshi+NA+ObvPl']}, {'word_form': ""a'awe"", 'fst_analyses': [""a'awe+PRONDem+NA+ProxSg""]}, {'word_form': 'gaawased', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Waasamoog manidoog.	There is lightening.	rg	[{'word_form': 'waasamoog', 'fst_analyses': ['waasamoog+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'manidoog', 'fst_analyses': ['manidoo+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.	The manitous coming are continuously flashing lightning	es	[{'word_form': 'aabiji-waasamoog', 'fst_analyses': ['PVLex/aabiji+waasamoog+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'manidoog', 'fst_analyses': ['manidoo+NA+ProxPl']}, {'word_form': 'ba-ayaawaad', 'fst_analyses': ['ChCnj+PVDir/bi+ayaaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVDir/bi+ayaaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'ChCnj+PVDir/bi+ayaa+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.	He's going to remove the log that was lying across the road.	es	[{'word_form': 'owii-ikoshimaan', 'fst_analyses': ['PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'mitigoon', 'fst_analyses': ['mitig+NA+ObvPl', 'mitig+NA+ObvSg', 'mitig+NI+Pl']}, {'word_form': 'gaa-aazhawishininid', 'fst_analyses': ['ChCnj+PVTense/gii+aazhawishin+VAI+Cnj+Pos+Neu+3SgObvSubj', 'ChCnj+PVTense/gii+aazhawishin+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3SgObvSubj', 'PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3PlObvSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]
